title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Transportation Services IDIQ - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0011,2026-02-17,2026-02-20,Inactive,,"Amendment 0004 - The purpose of this amendment is to provide a revised version of Attachment J8, dated 02/17/2026, which provides question and answer number 85. This question was missed when the Question and Answer document was provided in a",https://sam.gov/opp/1e06306ea70c43cb884b6d69c46d65b8/view,,
Library of Congress Food Service Operations,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0002,2026-02-14,2026-02-24,Inactive,,"The purpose of Amendment 0004 is to provide the government's response to questions received from interested offerors. Please review the attached Q and A spreadsheet, release 2, along with supplemental attachments that are identified ther",https://sam.gov/opp/1a8df1e548e444d181f7931500c6cfc0/view,,
Braille Magazine Transcription and Duplication – Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV25R0039,2026-02-13,2025-02-18,Inactive,,Amendment 0002 Amends certain aspects of the solicitation and allows for further discussions amongst those in the competitive range. ----------------------------------------- Amendment 0001 This,https://sam.gov/opp/0ba5e62ddc62475e9ebad703fcd89e65/view,,
"Classification Web Plus “Minaret” Subscription, Hosting, and Support",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Sources Sought,2026-CDS-0003,2026-02-13,2026-02-27,Inactive,,"SOURCES SOUGHT THE LIBRARY OF CONGRESS Classification Web Plus “Minaret” Subscription, Hosting, and Support 1 Introduction THIS IS A SOURCES SOUGHT (SS) ONLY. This SS is issued solely f",https://sam.gov/opp/02aa66cd50034dadb121bbe4a8337932/view,,
Engineering Drawings and Short Run Copying,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,EngineeringDrawingsandShortRunCopying1083S(2026),2026-02-12,,Inactive,,This is the award information for Program 1083S.,https://sam.gov/opp/e3415250150e415dbe838d9ed31493db/view,Aegis / East Side Printing Co,
Video Encoder Support,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV26Q0027,2026-02-11,2026-02-17,Inactive,,"The purpose of this Solicitation Amendment 0001 is to update a discrepancy in Section L.3, “Quote Format”. See the highlighted tracked changes in Section L.3 of the attached Solicitation Amendment 0001. This amendment does",https://sam.gov/opp/c698ce7a96fb47b9bf5ff5c1a1f03941/view,,
Cube-Tec CD Inspector DDP Upgrade (Intent to Sole Source),LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGR-0042,2026-02-11,2026-02-27,Inactive,,"Notice: This is a sole source for commercial products and/or commercial services in accordance with FAR Part 13, Simplified Acquisition Procedures and FAR subpart 6.3, Other than Full and Open Competition. This Special Notice is issued as",https://sam.gov/opp/a5e1a671503440ceaf13b8a8029a496a/view,,
Cube-Tec Dobbin and Quadriga Support - J&A,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGR-0059,2026-02-10,2026-02-25,Inactive,,"The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixed price contract to: Cube-Tec North America, LLC (192 Edgewood Rd, Ashville, NC, 28804). The work to be performed under the contract will be perform",https://sam.gov/opp/afa32620160c47b8b5effb87b81d1239/view,,
Architect and Engineer Services,GOVERNMENT ACCOUNTABILITY OFFICE,"GAO, EXCEPT COMPTROLLER GENERAL",US GAO ACQUISITION MANAGEMENT,Solicitation,05GA0A26Q0003,2026-02-09,2026-02-18,Inactive,,"AE services are required to support the GAO HQ building located at 441 G Street NW, Washington DC 20548 and the agency’s field offices currently located in the cities of Atlanta, Boston, Chicago, Dallas, Dayton, Denver, Huntsville, Los Angel",https://sam.gov/opp/7ddd48008865479b86dfa8376dfbe8d8/view,,
Quick-Schedule Copying Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Quick-ScheduleCopyingServices2980S(2026),2026-02-06,2026-03-26,Active,,"These specifications cover the production of quick turnaround copying requiring such operations as copy pickup, black-only and color copying, 1-4 part carbonless (NCR) form sets, posters, mounted posters on foam core/gator board, inserting printed",https://sam.gov/opp/9b4463ebf7994a31808c69318363798d/view,,
Customer Service Cards,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Program3531S,2026-02-06,2026-02-13,Inactive,,"SCOPE : These specifications cover the production of customer service cards requiring such operations as composition, printing, packing, and delivery.",https://sam.gov/opp/ac1787b9d11b4f6f8f092ad07bc63a12/view,,
SSA Copier Paper Contract (R-2) (A-1),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,SSACopierPaperContract775S(2025),2026-02-06,2026-02-10,Inactive,,"The specifications cover the ordering and distribution of copier paper requiring such operations as packing, distribution, and reporting. Complete specifications may be found at: https://www.gpo.gov/how-to-work-with-us/vendors/contract-opport",https://sam.gov/opp/c9b4d4fe192940399f3bae47907b5722/view,,
Annual SECVA Anti-Harassment Policy Distribution to Veterans,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,619-493,2026-02-05,2026-02-11,Inactive,,"These specifications cover the printing, folding, personalization, assembly, and mailing of approximately 6,066,383 informational sets for the Annual SECVA Anti-Harassment Policy D",https://sam.gov/opp/893b1d86f429402fb1d1b1f00d7238f6/view,,
Government Publishing Office FM Modernization / Construction,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-26-R-0013,2026-02-05,2026-03-23,Active,,"Please find the attached Request for Proposal (RFP), Statement of Work, Drawings, and Specifications. The U.S Government Publishing Office (USGPO) is located at 732 North Capital Street NW, Washington, DC 20401. USGPO provides publishing a",https://sam.gov/opp/bd11d702b58d4bf59eedbac43f29caf6/view,,
Optical Turntable System- J&A,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGR-0039,2026-02-05,2026-02-20,Inactive,,"The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixed price contract to: Endpoint Audio Labs (624 S Glenwood Pl, Burbank CA, 91506). The work to be performed under the contract will be performed at th",https://sam.gov/opp/f7ccc7bb3df0491d9bfe0c1c96ffa1ee/view,,
APTL Promotion Items,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,APTLPromotionItems_2026,2026-02-04,2026-02-26,Inactive,,These specifications cover the production of 19 different recruiting items for U.S. Customs and Border Protection (CBP). PDF proofs required. Prior-to-Production Samples Required. Contractor to submit a total bid (and a breakdown of total bid). Co,https://sam.gov/opp/4b631bcc356d430ab3b02f174548f707/view,,
U.S. Senate Social Media Web Archiving,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SECRETARY OF THE SENATE,Sources Sought,2026-S-015,2026-02-04,2026-02-24,Inactive,,Please review and complete the attachment to ensure your submission for the U.S. Senate Social Media Web Archiving Sources Sought Notice.,https://sam.gov/opp/bc8aecc6499e4e048dbc51f3fa57571e/view,,
High Resolution Multispectral Imaging Camera (Intent to Sole Source),LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGD-0018,2026-02-04,2026-02-16,Inactive,,"Notice: This is a sole source for commercial products and/or commercial services in accordance with FAR Part 13, Simplified Acquisition Procedures and FAR subpart 6.3, Other than Full and Open Competition. This Special Notice is issued as",https://sam.gov/opp/32119590a38f47739bb1b5df82dd5048/view,,
Optical Mark Forms,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,OpticalMarkForms574S(2026),2026-02-03,2026-02-18,Inactive,,"These specifications cover the production of machine-readable forms requiring such operations as forms design and design verification, composition, electronic prepress, printing, binding, packing, and distribution. Complete specificati",https://sam.gov/opp/e7469a9fa8c94e95a58aff79fe9b1a03/view,,
Process Application Development IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0003,2026-02-02,2026-02-11,Inactive,,Amendment 0005 has been attached to this opportunity to post revision to J10 Task Order 2 Price Spreadsheet and J11 Question and Answer document. ... Amendment 0004 has been attached to the opportunity to extend the submission dead,https://sam.gov/opp/e78bae813cbb4e29928147a46d71d08e/view,,
ASVAB Exploring Career Guide (DD Form 1304-5WB),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,432953,2026-02-02,2026-02-06,Inactive,,Saddle-Stitch Career Guidebooks with glued in NCR form,https://sam.gov/opp/f9fcad94078d458ba48f364f2baa078b/view,,
US v. Live Nation Entertainment Trial Binders,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,440-223,2026-02-02,2026-02-03,Inactive,,"10 sets of trial binder exhibits, folder set of trial exhibits (with 4 copies of each trial exhibit) and 80 sets of witness binders (7 copies of each set) containing approx. 500,000 total pages plus 10,200 printed tab dividers.",https://sam.gov/opp/8135ccc42880490e8eda9674252577f3/view,,
GPO Building B Garage Roof and Skylight Replacement,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0003-C0002,2026-01-30,2026-03-24,Active,,"This solicitation amendment is to update the event due dates in Section L: Instructions, Conditions, and Notices to Offerors of the solicitation, as detailed in the attached amendment.",https://sam.gov/opp/eb694ad8d8b24bbeae78bdd7a9f45d44/view,,
U.S. Senate Cisco Nexus Data Switches,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2026-R-031,2026-01-30,2026-02-13,Inactive,,"The United States Senate, Office of the Sergeant at Arms (SAA) seeks brand name Cisco Nexus data switches. Request for Quotation (RFQ) 2026-R-031 Cisco Nexus Data Switches The enclosed files include instructions and requirements fo",https://sam.gov/opp/42d0b674bba84d199b444874663c723e/view,,
U.S. Senate Google Cloud Services,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2026-R-030,2026-01-30,2026-02-13,Inactive,,"The United States Senate, Office of the Sergeant at Arms (SAA) seeks brand name Google Cloud Services (renewal). Request for Quotation (RFQ) 2026-R-030 Google Cloud Services The enclosed files include instructions and requirements",https://sam.gov/opp/291ef92cf17e42d09e7419beb07141f0/view,,
FADGI Open Source Software Development and Maintenance for AudioVisual Content,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGD26C0001,2026-01-29,,Inactive,,,https://sam.gov/opp/8dfd4775a8234458a0902cc62f50c9c8/view,RICECAPADES LLC,
FADGI Open Source Software Development and Maintenance for AudioVisual Content,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV26Q0011,2026-01-29,2026-01-05,Inactive,,Amendment 0001 has been attached to this solicitation to provide answers to questions received from potential offerors. Amendment 0001 will need to be signed by offerors and submitted along with their respective proposals. ***,https://sam.gov/opp/b8bd17f1e941412ab25141c3d839db86/view,,
GPO TWIC Pin Mailers,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Combined Synopsis/Solicitation,040ADV-25-R-0038,2026-01-28,2026-02-02,Inactive,,Amendmnet 002 is issued to provide responses to questions. Amendment 001 was issued to extend the proposals submission to 02 02 2206 5 pm EST. The United States Government Publishing Office (GPO) is seeking proposals to purch,https://sam.gov/opp/94de66ee062a4d0c9f22c4013af81031/view,,
Cohesity Backup Storage as a Service,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2026-R-024,2026-01-27,2026-02-02,Inactive,,"Amend Amendment 003 question five and Amendment 002 Unit of Measure for Line Items 0014, 0015, and same for the option years. &nb",https://sam.gov/opp/4a20830832234947953ca392ab867450/view,,
FEDLINK Library Support Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS FEDLINK,Solicitation,LCFDL26R0012,2026-01-27,2026-01-30,Inactive,,"Amendment 0003 posted on January 27, 2026 shares ""LCFDL26R0012 Questions and Answers 2."" The response date/time have not been extended. Amendment 0002 posted on January 21, 2026 sha",https://sam.gov/opp/d5e3fdcb30fe429bbf9e67c6730866da/view,,
Billing Statements and Notices,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,BillingStatementsandNotices0716S(2026),2026-01-23,2026-02-09,Inactive,,"These specifications cover the production of mailers consisting of a statement or notice and mail-out envelope requiring such operations as electronic prepress, printing, binding, construction, gathering and inserting, and distribution.",https://sam.gov/opp/54fdae0ae0444e7daf6106135b4eb907/view,,
U.S. Senate Oracle Enterprise Application Procurement.,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2026-R-027,2026-01-23,2026-02-04,Inactive,,Please review and complete the attachments to ensure your submission for the U.S. Senate Oracle Enterprise Application Procurement.,https://sam.gov/opp/f140554e96af4cfc9b388849421d7669/view,,
U.S. Senate Duo Renewal,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2026-R-029,2026-01-23,2026-02-03,Active,,Please review and complete the attachments to ensure your submission for the U.S. Senate Duo Renewal.,https://sam.gov/opp/035428a9543a4b95bce95cc5b10fcaee/view,,
GPO Building B Garage Roof and Skylight Replacement,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0003-C0001,2026-01-22,2026-03-06,Active,,"This solicitation amendment hereby cancels the site visit scheduled for Monday, January 26, 2026 due to inclement weather. ",https://sam.gov/opp/a05ee5280d5b466ebb4a8116d4f17b6f/view,,
Sources Sought Notice for Emergency Call Center Services,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Sources Sought,2026-S-016,2026-01-22,2026-02-03,Inactive,,The purpose of this SSN is to gather information about available Call Center support services that can support Legislative Branch Organizations (LBOs) in the event of a catastrophic incident impacting Capitol Hill.,https://sam.gov/opp/e550f77fe02b4eca8ece9afccc2b4c07/view,,
